ORIGINAL LABEL	OTT TAXON NAME	OTT TAXON ID	TAXONOMIC SOURCES
Diadumene lineata	Diadumene lineata	100009	worms:395099;ncbi:1789172;gbif:4283395;irmng:11252377;irmng:11468014;irmng:10791576
Hydractinia echinata	Hydractinia echinata	115617	worms:117644;ncbi:35630;gbif:2265871;irmng:10405459;irmng:10825075
Bougainvillia carolinensis	Bougainvillia carolinensis	281469	worms:157917;ncbi:498505;gbif:9765343;irmng:10835673
Nematostella vectensis	Nematostella vectensis	938118	worms:100906;ncbi:45351;gbif:2255972;irmng:11435344
Obelia geniculata	Obelia geniculata	508706	worms:117388;ncbi:185004;gbif:2268160;irmng:11127855
Clytia hemisphaerica	Clytia hemisphaerica	33385	worms:117368;ncbi:252670;ncbi:252671;ncbi:645348;gbif:2268193;irmng:10403563;irmng:10814886;irmng:11251808;irmng:10824580;irmng:11457994;irmng:10070280;irmng:10480306;irmng:10820298;irmng:11252858;irmng:10833724;irmng:10526783;irmng:10403245
Cyanea versicolor	Cyanea capillata	178412	worms:135301;ncbi:27804;gbif:2264478;irmng:10001577
Ectopleura crocea	Ectopleura crocea	863651	worms:117981;ncbi:576744;gbif:2265658;irmng:10412189;irmng:10411922;irmng:11468082
Astrangia poculata	Astrangia poculata	250725	worms:157967;ncbi:165419;gbif:2259412;irmng:10967326
Chrysaora quinquecirrha	Chrysaora quinquecirrha	404507	worms:220476;ncbi:6148;gbif:5185413;irmng:10413261
Laomedea calceolifera	Laomedea calceolifera	446121	worms:117380;ncbi:314523;gbif:2268350;irmng:11049481
Laomedea flexuosa	Laomedea flexuosa	259585	worms:117382;ncbi:314520;gbif:2268353;irmng:10835240
Aequorea forskalea	Aequorea forskalea	258884	worms:117270;ncbi:168712;gbif:2267497;irmng:11164542;irmng:10404606
Edwardsiella lineata	Edwardsiella lineata	746450	worms:283549;ncbi:132407;gbif:5711881;irmng:11549645;irmng:10824583;irmng:11468018
Aglantha digitale	Aglantha digitale	459324	worms:117849;ncbi:56245;gbif:2269484;irmng:11318580
Edwardsia elegans	Edwardsia elegans	746448	worms:158235;ncbi:132404;gbif:5184030;irmng:10166743
Gonionemus vertens	Gonionemus vertens	691179	worms:117768;ncbi:515657;gbif:2266754;irmng:10404110;irmng:10404112;irmng:10461038;irmng:11093765
Eudendrium racemosum	Eudendrium racemosum	1009085	worms:117553;ncbi:168738;gbif:2266177;irmng:10787484
Sarsia tubulosa	Sarsia tubulosa	778787	worms:117491;ncbi:264145;ncbi:264121;gbif:2266276;irmng:10839418;irmng:10526853;irmng:10402114;irmng:10831508;irmng:10836267
Obelia dichotoma	Obelia dichotoma	1097118	worms:117386;ncbi:37520;gbif:5185976;irmng:11468567;irmng:11468571;irmng:11468572;irmng:10831278;irmng:11468569;irmng:11468568;irmng:10528048;irmng:10529047;irmng:11657390;irmng:10650981;irmng:11550866;irmng:11550867;irmng:11468475
Gersemia rubiformis	Gersemia rubiformis	463880	worms:156103;ncbi:767273;gbif:2263181;irmng:11380206;irmng:10824828;irmng:10950922
Laomedea angulata	Laomedea angulata	515914	worms:117379;ncbi:396356;gbif:2268346;irmng:10650733
Physalia physalis	Physalia physalis	702294	worms:135479;ncbi:168775;ncbi:168776;gbif:2264734;irmng:11120639
Eudendrium capillare	Eudendrium capillare	566407	worms:117544;ncbi:308571;gbif:2266151;irmng:11271324;irmng:10405404;irmng:11020026
Eudendrium carneum	Eudendrium carneum	122693	worms:117545;ncbi:524315;gbif:2266125;irmng:11125478
Chrysaora chesapeakei	Chrysaora chesapeakei	7509042	ncbi:2039481;gbif:9552507
