ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Arcellinida,Arcellinida,717541,silva:EU273445/#4;ncbi:318493;worms:1317;gbif:760;irmng:12512
Pleopeltis remota ,Pleopeltis remota,916151,ncbi:392249;gbif:4028516
Neisseria gonorrhoeae,Neisseria gonorrhoeae,286811,silva:AF293419;ncbi:485;gbif:3220217;irmng:11068173
Tripneustes gratilla,Tripneustes gratilla,43572,ncbi:7673;worms:212453;gbif:4341500;irmng:10538505;irmng:10833302;irmng:10835945;irmng:10826475;irmng:10931190
Drosophila melanogaster,Drosophila melanogaster,505714,ncbi:7227;worms:987722;gbif:5073712;gbif:5073713;irmng:10715446;irmng:11341030;irmng:10483750;irmng:10566400;irmng:10717699;irmng:11036842;irmng:10121502
Prunus serrulata,Prunus serrulata,746756,ncbi:97321;gbif:3022609;irmng:10175195;irmng:10188339
Salmonella enterica,Salmonella enterica,338023,silva:AF276989;ncbi:28901;gbif:9701185
Olavius algarvensis,Olavius algarvensis,1070785,ncbi:188229;worms:137535;gbif:4307763;irmng:11061863
Oryza sativa,Oryza sativa,709894,ncbi:4530;gbif:2703459;irmng:10706953
Brachyotum,Brachyotum,423378,ncbi:1160525;gbif:3861888;irmng:1264340
Adiantum,Adiantum,164367,ncbi:13817;gbif:2650796;irmng:1117105
Kryptolebias marmoratus,Kryptolebias marmoratus,229709,ncbi:37003;worms:314719;gbif:2349291;irmng:10145506;irmng:10149738
Chrysoperla carnea,Chrysoperla carnea,994257,ncbi:189513;gbif:2105360
Thunnus thynnus,Thunnus thynnus,833184,ncbi:8237;worms:127029;gbif:2373980;irmng:10152641
Tineola bisselliella,Tineola bisselliella,1050561,ncbi:93883;gbif:1857626;irmng:10000137
Parulidae,Parulidae,445868,ncbi:400782;worms:414858;gbif:5263;irmng:108516
Astigmata,Astigmata,587951,ncbi:6951;worms:150317;gbif:374;irmng:10929
Candida albicans,Candida albicans,154960,ncbi:5476;gbif:2599597;irmng:10482576
Oryza coarctata,Oryza coarctata,272949,ncbi:77588;gbif:4110225
Chaetodontidae,Chaetodontidae,615333,ncbi:30828;worms:125528;gbif:8517;irmng:115306
Hexamita inflata,Hexamita inflata,202782,ncbi:28002;worms:428666;irmng:11108592
Kikihia muta,Kikihia muta,440976,ncbi:140081;gbif:2078668;irmng:10493035
Saccharomyces cerevisiae,Saccharomyces cerevisiae,356221,ncbi:4932;worms:147593;gbif:2599166;irmng:10384091
Bolitoglossa mexicana,Bolitoglossa mexicana,391973,ncbi:116049;gbif:2431344;irmng:10589745
Sphenisciformes,Sphenisciformes,494366,ncbi:9230;worms:196033;gbif:7190978;irmng:12029
Canis lupus,Canis lupus,247341,ncbi:9612;gbif:5219173;irmng:11407661
Homo sapiens ,Homo sapiens,770315,ncbi:9606;gbif:2436436;irmng:11388931;irmng:10857762
Sorex monticolus,Sorex monticolus,180334,ncbi:62903;gbif:2436019;irmng:10661131
Bradypus variegatus,Bradypus variegatus,273233,ncbi:9355;gbif:2436353;irmng:10228963
Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,33153,ncbi:3055;gbif:5271221;irmng:10004901;irmng:11030921
Ananas comosus,Ananas comosus,627039,ncbi:4615;gbif:5288776;gbif:5288819;irmng:10207532
Mycobacterium tuberculosis ,Mycobacterium tuberculosis,604112,silva:X58890;ncbi:1773;gbif:3225140;irmng:10033268
